State,art
Alabama,60
Arizona,75
Arkansas,71
California,69
Colorado,83
Connecticut,80
Delaware,78
Florida,63
Georgia,100
Idaho,65
Illinois,64
Indiana,79
Iowa,80
Kansas,75
Kentucky,69
Louisiana,67
Maine,75
Maryland,67
Massachusetts,63
Michigan,84
Minnesota,73
Mississippi,74
Missouri,76
Montana,75
Nebraska,56
Nevada,69
New Hampshire,76
New Jersey,66
New Mexico,67
New York,69
North Carolina,68
North Dakota,81
Ohio,78
Oklahoma,75
Oregon,63
Pennsylvania,77
Rhode Island,69
South Carolina,88
South Dakota,71
Tennessee,76
Texas,63
Utah,67
Vermont,67
Virginia,65
Washington,90
West Virginia,87
Wisconsin,70
Wyoming,84
,
,
,60
,76
,70
