State,instagram
Alabama,62
Arizona,57
Arkansas,83
California,56
Colorado,99
Connecticut,71
Delaware,78
Florida,79
Georgia,98
Idaho,78
Illinois,78
Indiana,100
Iowa,65
Kansas,71
Kentucky,57
Louisiana,49
Maine,57
Maryland,55
Massachusetts,77
Michigan,53
Minnesota,90
Mississippi,74
Missouri,64
Montana,57
Nebraska,63
Nevada,60
New Hampshire,64
New Jersey,52
New Mexico,94
New York,62
North Carolina,89
North Dakota,74
Ohio,87
Oklahoma,72
Oregon,44
Pennsylvania,60
Rhode Island,57
South Carolina,73
South Dakota,72
Tennessee,81
Texas,68
Utah,45
Vermont,65
Virginia,78
Washington,75
West Virginia,67
Wisconsin,72
Wyoming,67
