,State,privacy,
Alabama,Alabama,51,TRUE
Arizona,Arizona,41,TRUE
Arkansas,Arkansas,47,TRUE
California,California,50,TRUE
Colorado,Colorado,58,TRUE
Connecticut,Connecticut,51,TRUE
Delaware,Delaware,54,TRUE
Florida,Florida,57,TRUE
Georgia,Georgia,51,TRUE
Idaho,Idaho,55,TRUE
Illinois,Illinois,45,TRUE
Indiana,Indiana,47,TRUE
Iowa,Iowa,55,TRUE
Kansas,Kansas,52,TRUE
Kentucky,Kentucky,42,TRUE
Louisiana,Louisiana,46,TRUE
Maine,Maine,50,TRUE
Maryland,Maryland,48,TRUE
Massachusetts,Massachusetts,46,TRUE
Michigan,Michigan,60,TRUE
Minnesota,Minnesota,52,TRUE
Mississippi,Mississippi,51,TRUE
Missouri,Missouri,49,TRUE
Montana,Montana,42,TRUE
Nebraska,Nebraska,51,TRUE
Nevada,Nevada,50,TRUE
New Hampshire,New Hampshire,45,TRUE
New Jersey,New Jersey,42,TRUE
New Mexico,New Mexico,49,TRUE
New York,New York,54,TRUE
North Carolina,North Carolina,43,TRUE
North Dakota,North Dakota,56,TRUE
Ohio,Ohio,55,TRUE
Oklahoma,Oklahoma,45,TRUE
Oregon,Oregon,51,TRUE
Pennsylvania,Pennsylvania,42,TRUE
Rhode Island,Rhode Island,56,TRUE
South Carolina,South Carolina,49,TRUE
South Dakota,South Dakota,49,TRUE
Tennessee,Tennessee,55,TRUE
Texas,Texas,42,TRUE
Utah,Utah,50,TRUE
Vermont,Vermont,49,TRUE
Virginia,Virginia,50,TRUE
Washington,Washington,49,TRUE
West Virginia,West Virginia,61,TRUE
Wisconsin,Wisconsin,61,TRUE
Wyoming,Wyoming,51,TRUE
